Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2016-12-01,0.000100,0.000100,0.000010,0.000010,0.000010,479986
2017-01-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-02-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-03-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-04-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-05-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-06-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-07-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-08-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-09-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-10-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-11-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2017-12-01,0.000010,0.000100,0.000010,0.000100,0.000100,120400
2018-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2018-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2018-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2018-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2018-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2018-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2018-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2018-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2018-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2018-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2018-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2018-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,3780
2019-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2019-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2019-03-01,0.000100,0.000200,0.000100,0.000200,0.000200,8000
2019-04-01,0.000200,0.000200,0.000200,0.000200,0.000200,0
2019-05-01,0.000200,0.000200,0.000010,0.000010,0.000010,2487
2019-06-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2019-07-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2019-08-01,0.000010,0.000100,0.000010,0.000100,0.000100,100
2019-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2019-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2019-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2019-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,25000
2020-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2020-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2020-03-01,0.000100,0.000400,0.000100,0.000400,0.000400,100
2020-04-01,0.000400,0.000400,0.000100,0.000100,0.000100,6201
2020-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2020-06-01,0.000100,0.000300,0.000100,0.000300,0.000300,30000
2020-07-01,0.000300,0.000300,0.000300,0.000300,0.000300,354
2020-08-01,0.000300,0.000300,0.000300,0.000300,0.000300,0
2020-09-01,0.000300,0.000300,0.000300,0.000300,0.000300,0
2020-10-01,0.000300,0.000300,0.000010,0.000010,0.000010,1061
2020-11-01,null,null,null,null,null,null